DES13E1bvn	1.65166
DES13E2dqo	1.10357
DES13E2zj	1.20149
DES13X1cps	1.25167
DES13X1dai	1.29109
DES14C1csb	0.77118
DES14C3ni	0.86229
DES14X3cce	1.07744
DES15C3kc	0.73412
DES15S1cs	0.91115
DES15S2aqw	0.80416
DES15S2is	0.73406
DES15X1aw	0.92856
DES15X2ez	1.13377
DES15X3hf	0.78316
DES16C2nn	1.09415
DES16E2aaw	0.84693
DES16S2hx	1.55222
DES16X1jr	1.16522
DES16X3bdi	1.42639
DES17C2os	0.92218
DES17E1bfv	1.71351
DES17S1auo	1.32047
DES17X1gg	0.9842
DES17X3bqv	1.50428
LSQ12fld	0.69256
OzDES-DR2_00411	1.17691
OzDES-DR2_01712	0.88932
OzDES-DR2_01880	1.69165
OzDES-DR2_02412	1.53744
OzDES-DR2_02532	0.91092
OzDES-DR2_03040	1.14624
OzDES-DR2_03043	1.22694
OzDES-DR2_03046	0.92127
OzDES-DR2_03047	0.83906
OzDES-DR2_03048	1.65007
OzDES-DR2_03050	1.92066
OzDES-DR2_03051	1.23484
OzDES-DR2_03498	1.18118
OzDES-DR2_03500	1.92874
OzDES-DR2_03504	1.46806
OzDES-DR2_03506	1.23592
OzDES-DR2_03508	1.4329
OzDES-DR2_03509	0.98355
OzDES-DR2_03511	1.23543
OzDES-DR2_03513	1.35918
OzDES-DR2_03517	1.38585
OzDES-DR2_03518	1.29256
OzDES-DR2_03519	1.90139
OzDES-DR2_03521	1.49302
OzDES-DR2_03523	0.88234
OzDES-DR2_03524	1.37318
OzDES-DR2_03525	1.52733
OzDES-DR2_03530	1.5234
OzDES-DR2_03531	0.8694
OzDES-DR2_03532	1.09791
OzDES-DR2_03534	1.64046
OzDES-DR2_03535	0.84739
OzDES-DR2_03537	1.41812
OzDES-DR2_03538	1.47592
OzDES-DR2_03540	0.81423
OzDES-DR2_03542	0.93956
OzDES-DR2_03544	1.54545
OzDES-DR2_03546	1.46317
OzDES-DR2_03548	1.59174
OzDES-DR2_03552	1.34612
OzDES-DR2_03555	1.3075
OzDES-DR2_03556	1.44299
OzDES-DR2_03557	1.37293
OzDES-DR2_03559	1.74706
OzDES-DR2_03560	1.74082
OzDES-DR2_03561	0.84071
OzDES-DR2_03572	1.12844
OzDES-DR2_03576	1.87177
OzDES-DR2_03587	0.87414
OzDES-DR2_03588	1.37159
OzDES-DR2_03623	1.33488
OzDES-DR2_03625	1.808
OzDES-DR2_03652	1.45335
OzDES-DR2_03654	1.18388
OzDES-DR2_03666	1.75712
OzDES-DR2_03667	1.87309
OzDES-DR2_03678	0.95487
OzDES-DR2_03679	1.72154
OzDES-DR2_03680	1.04637
OzDES-DR2_03684	1.82819
OzDES-DR2_03687	1.12168
OzDES-DR2_03690	1.57142
OzDES-DR2_03692	1.87311
OzDES-DR2_03709	1.45164
OzDES-DR2_03730	1.46604
OzDES-DR2_03731	1.52947
OzDES-DR2_03732	1.8255
OzDES-DR2_03734	1.59011
OzDES-DR2_03750	1.17222
OzDES-DR2_03753	1.4502
OzDES-DR2_03798	1.81584
OzDES-DR2_03799	1.7345
