MJD_OBS MAG MAG_ERR BAND
56534.15430651 23.17228917088923 0.10225816262284226 b'g'
56538.16077142 23.3309035162569 0.09784504188809606 b'g'
56563.03684392 23.351999177717612 0.13335279203000994 b'g'
56568.06568095 23.137772773545706 0.11121354859881194 b'g'
56575.02788286 23.287260668021737 0.17039711721035292 b'g'
56578.99898364 23.426519496795336 0.26453356414288365 b'g'
56602.02672743 23.330918887169748 0.09780888015795952 b'g'
56628.0473868 23.455732181666093 0.15306171777431388 b'g'
56635.09704896 23.310514793842362 0.23345259658977469 b'g'
56650.04868646 23.41723673028058 0.15602222421065548 b'g'
56657.04510056 23.12066088796975 0.13768728749024106 b'g'
56667.05917723 23.174797865724397 0.23844961326050296 b'g'
56943.00467823 23.66863757447956 0.21685891119341605 b'g'
56953.03073484 23.674174796916038 0.13153725583907416 b'g'
56980.02388511 23.56609594623274 0.1292425515183453 b'g'
57016.10451927 23.498350525531837 0.13625738325106695 b'g'
57030.04381385 23.60320636304357 0.2211600235159139 b'g'
57037.06028836 23.51684967552726 0.19568033639576043 b'g'
57257.21157761 23.699442675577494 0.162305323800922 b'g'
57315.14967559 23.592480939612457 0.20744046520717419 b'g'
57325.02305454 23.441616835734983 0.1608900831167439 b'g'
57339.01859335 23.52909219097879 0.13839672689105598 b'g'
57365.03621469 23.400446516484163 0.13253750991296798 b'g'
57371.04870737 23.392734305889775 0.12321451874393574 b'g'
57386.04190673 23.40817126441197 0.15011513744723715 b'g'
57638.1908142 23.419118472957788 0.13207693903044415 b'g'
57666.02168094 23.284656859807463 0.16946368685103863 b'g'
57686.00693137 23.443270458091323 0.20275072626579416 b'g'
57690.10977178 23.543821129996317 0.2052089285558374 b'g'
57708.04966011 23.404845917336335 0.18313742472520644 b'g'
57719.02905755 23.510041444443996 0.21082486366208997 b'g'
57730.03918128 23.319824885858356 0.24525242827456495 b'g'
57747.04315489 23.409512426246394 0.20560487872970157 b'g'
57986.28235727 23.253319036625207 0.11732674552532528 b'g'
58025.03810264 23.188678771291226 0.2619831469896532 b'g'
58036.00552352 23.090367029596983 0.1655278696151008 b'g'
58045.00232915 23.154045740481212 0.12609347667629933 b'g'
58052.00521601 23.003294716857624 0.17574125763440662 b'g'
58072.20310951 23.010642723244615 0.13075451414302108 b'g'
58081.04408819 23.258403241577877 0.15511972328511092 b'g'
58086.0470885 23.173254602752454 0.23528958011804232 b'g'
58117.04341262 23.383035103711215 0.22924748601600695 b'g'
58125.04535833 23.054373356207478 0.1209278068138282 b'g'
58401.0416046 22.67675758393969 0.07809251175046228 b'g'
56520.20787541 22.621237840300633 0.1324611069641648 b'r'
56534.15666855 22.694726749979147 0.08756349358800364 b'r'
56538.16313827 22.791181980095335 0.07893977705342436 b'r'
56543.09408201 22.61411057656927 0.13232281923927758 b'r'
56558.05410251 22.681042932972833 0.12003704352046185 b'r'
56563.03920793 22.582432903841998 0.14887921643130042 b'r'
