MJD_OBS MAG MAG_ERR BAND
56661.31813737 20.175270326317147 0.009477918146681719 b'g'
57430.18433855 20.16394989283347 0.035866394406959046 b'g'
57659.30866204 20.367666495308693 0.014841648723546541 b'g'
57803.19501243 20.44966724986249 0.017446092536843594 b'g'
58163.08272961 20.347273987407508 0.01666703101660616 b'g'
58462.1801139 20.404782963814203 0.015051237331732636 b'g'
58465.16050624 20.34668299251845 0.011486137223954529 b'g'
56653.33617662 19.945318798516706 0.013777280308339357 b'r'
56661.31814036 19.938835134666164 0.012923990635663074 b'r'
57430.18297342 20.048350427133705 0.027384054824416637 b'r'
57659.30728751 20.17621120094007 0.01584023568964099 b'r'
57802.1979158 20.193326803763426 0.01812089131119876 b'r'
58163.0813552 20.143472585592633 0.014847726783393966 b'r'
58462.17721021 20.1159860341301 0.013430447498794962 b'r'
58464.14105901 20.13304389046887 0.014081129178496354 b'r'
56650.34969713 19.983183634788997 0.01951219072524779 b'i'
56653.32190695 20.011190227336314 0.01950367202347536 b'i'
57430.18159809 20.176873460851716 0.031172300690297302 b'i'
57801.19287483 20.30347010737974 0.04071962526603201 b'i'
58163.07998031 20.188404639893072 0.021568483410693062 b'i'
58461.18454589 20.19694203276665 0.019177970856663507 b'i'
58467.14693759 20.19818681447378 0.01818932435001841 b'i'
