MJD_OBS MAG MAG_ERR BAND
56536.24095941 21.560482926812057 0.04598947115137264 b'g'
56543.28207737 21.490353196987773 0.028541347209539932 b'g'
56545.38880757 21.54301796168744 0.03381668834652629 b'g'
56547.23975763 21.522587759803976 0.03234586566562925 b'g'
56563.24386996 21.541422399607587 0.02622406176602965 b'g'
56567.18465363 21.578230503624933 0.033616739951845886 b'g'
56575.16352384 21.531325166815865 0.027746460157064945 b'g'
56579.15273697 21.583214660902293 0.1130099267914666 b'g'
56592.16659055 21.457698067378544 0.06638039936970941 b'g'
56602.09068584 21.589350616103964 0.026700815729302718 b'g'
56609.08249952 21.354987389792754 0.09025597045913969 b'g'
56616.07300355 21.59366479137043 0.09303633398824473 b'g'
56625.21024704 21.483090799553928 0.02814510811138149 b'g'
56629.03759878 21.529247526693922 0.04363593160818624 b'g'
56636.04141734 21.646229414804278 0.054103602751553126 b'g'
56645.13591113 21.40533359191545 0.09541887638626534 b'g'
56649.13182666 21.4920871508748 0.04004471798255338 b'g'
56653.14658773 21.307165602006478 0.04432058255700966 b'g'
56654.14151469 21.387227700937558 0.04206960408687266 b'g'
56660.06078326 21.48561164955449 0.0258377374693346 b'g'
56676.05758924 21.371827605964228 0.044302442495215644 b'g'
56683.03932922 21.446696799645494 0.04874655167455799 b'g'
56690.06528347 21.46481126794702 0.028207977501129022 b'g'
56697.0365563 21.569621462452073 0.06911724248285012 b'g'
56890.38605552 21.311726338952717 0.041008378694233016 b'g'
56903.39675947 21.48216641205031 0.03285754380964079 b'g'
56923.32891589 21.426097589472455 0.033031480802854674 b'g'
56927.29392038 21.417757907486195 0.02818371232726591 b'g'
56932.2704941 21.468523121531856 0.024996886365187265 b'g'
56933.31976592 21.407316827096285 0.032856872627142764 b'g'
56956.14097256 21.375993674983107 0.0237175999336543 b'g'
56960.25691412 21.44064902411258 0.03878766154056734 b'g'
56963.22753646 21.37892145588224 0.082873844618085 b'g'
56973.12880991 21.422149927807745 0.024846036868360954 b'g'
56980.19227606 21.381569657327596 0.02090964947431928 b'g'
56987.19338195 21.360127245667897 0.024100247720966195 b'g'
56990.19409959 21.436299558751454 0.04028002162385036 b'g'
57001.1601094 21.580924627085924 0.06071676218025246 b'g'
57005.20021446 21.352469472789245 0.03766458228556502 b'g'
57012.0674613 21.347911125546233 0.027095309087606267 b'g'
57018.05644414 21.286027293962626 0.04928548944693745 b'g'
57019.05590709 21.28528365637688 0.06128911054801023 b'g'
57026.1520394 21.476872014461666 0.10350211388212216 b'g'
57033.10024326 21.34914165052374 0.024625058330283167 b'g'
57040.11314367 21.380826602759818 0.023373150726779812 b'g'
57045.10629335 21.40990690134603 0.034123745836488695 b'g'
57052.09550219 21.482151426565533 0.09454801620395514 b'g'
57249.38832607 21.421052135606935 0.032797010915192715 b'g'
57253.40075114 21.377934368345255 0.02846565284565727 b'g'
57258.3579972 21.385025351718486 0.02370202230292051 b'g'
57276.38188236 21.34265958695586 0.030345374311522733 b'g'
57283.26013929 21.433008048068913 0.02897105570180969 b'g'
57287.33711567 21.411472042530615 0.03389386551188167 b'g'
57299.20439602 21.419346486618554 0.07549566990403278 b'g'
57303.17973418 21.43828604577461 0.03712696020496864 b'g'
57304.25433077 21.35595096520637 0.06764252359211298 b'g'
57305.26489473 21.526186922947456 0.04800646671887421 b'g'
57312.13773056 21.289779380834357 0.03341045033897316 b'g'
57318.17754327 21.408141722451543 0.09998401826781489 b'g'
57327.11981237 21.39623744504969 0.02801272818143019 b'g'
57331.16400415 21.387774071661845 0.02714729271970384 b'g'
57339.16234228 21.466720433681502 0.032748234808249066 b'g'
57345.24036127 21.354654785640257 0.03825071200202501 b'g'
57365.12097566 21.417208033218074 0.021923196984872106 b'g'
57372.11312995 21.474912871061 0.028140880084762898 b'g'
57385.07784041 21.408420037954865 0.022120046885955702 b'g'
57394.04185375 21.37233817338926 0.03715816716568554 b'g'
57401.06051702 21.452754942548445 0.028704648057747303 b'g'
57626.28997178 21.458459064866837 0.04480534132557068 b'g'
57633.27650924 21.59796409315942 0.03693292153851502 b'g'
