MJD_OBS MAG MAG_ERR BAND
56536.21771549 21.477691901435218 0.0931932184033819 b'g'
56543.23392384 21.44413462487917 0.04651090890609666 b'g'
56547.2540966 21.561711681521142 0.04787163730603439 b'g'
56558.23173908 21.533224812646694 0.12626213857588198 b'g'
56567.20569761 21.40895367099656 0.03909451481909443 b'g'
56575.17786064 21.41325810367417 0.0442154475024239 b'g'
56579.16714461 21.567230172035853 0.09272453702067907 b'g'
56590.32731174 21.36043126488407 0.1061816282602237 b'g'
56602.10497021 21.454760408803075 0.04853009672249442 b'g'
56609.0545621 21.387896705091144 0.1394541546597381 b'g'
56625.1959828 21.50857794146157 0.04599483290142814 b'g'
56628.06215157 21.39921927418679 0.046053383189640584 b'g'
56635.11392694 21.563461633641264 0.06427294712907283 b'g'
56645.06419484 21.655754155171522 0.1171385874199977 b'g'
56649.14610451 21.45239839185696 0.07048165238310844 b'g'
56653.1608877 21.34525571396525 0.05322562848415302 b'g'
56660.07513418 21.409045453479315 0.04300725987519627 b'g'
56662.15935732 21.528370234012733 0.0646589458148128 b'g'
56681.1210519 21.47627267111281 0.04997871847930213 b'g'
56692.04454158 21.332675572154784 0.05685702091337674 b'g'
56890.40046293 21.321104693086273 0.05648750763990407 b'g'
56904.28188708 21.494167438972937 0.06906171425609386 b'g'
56920.29132334 21.401276331289555 0.04655209799280158 b'g'
56927.22143981 21.42182573569091 0.05008260075715043 b'g'
56943.17806891 21.35432972758888 0.10987794241837534 b'g'
56949.33679516 21.482817660565615 0.047742996435687246 b'g'
56956.35148038 21.359958686301592 0.06093522712335542 b'g'
56973.16835896 21.42086760839295 0.061356712303290095 b'g'
56980.30319818 21.511142150852066 0.045805710544684075 b'g'
56987.30317914 21.455860070603624 0.05430492956164912 b'g'
56992.12251633 21.497392150054207 0.10875960967286602 b'g'
57004.03747526 21.42056427444443 0.08487520797685022 b'g'
57017.23774109 21.33648163376327 0.05511098231326628 b'g'
57025.07174183 21.414647657772626 0.13088641903776121 b'g'
57032.14467783 21.40825571173622 0.09425859388753466 b'g'
57039.11240607 21.371315719224416 0.04557814035852559 b'g'
57051.14446579 21.22786708614304 0.10785511865289621 b'g'
57067.09630962 21.39309404835199 0.055232719626644666 b'g'
57252.28864835 21.487962470619827 0.05968504886767079 b'g'
57257.30862735 21.455177811810188 0.06262871699734518 b'g'
57277.3923674 21.533843371461522 0.0567453830782334 b'g'
57284.33819397 21.47662521744141 0.10901216419851778 b'g'
57302.29086134 21.505163717384757 0.042707843092451014 b'g'
57311.25625092 21.47784431427068 0.051027123581203426 b'g'
57317.16955457 21.42853292809335 0.10316325778603286 b'g'
57329.22466527 21.42017247536478 0.07237513607692847 b'g'
57331.08940895 21.44760999168295 0.05151833838588615 b'g'
57356.16758732 21.47974757678745 0.0875876192768672 b'g'
57372.22317635 21.544813626018048 0.05509039001958982 b'g'
57387.17849354 21.562023741554928 0.09344156511801316 b'g'
57394.14407831 21.479793354569424 0.052915251189489254 b'g'
57401.16492013 21.447005690376407 0.06635912178832015 b'g'
57426.14306478 21.511233387295604 0.07072156073182612 b'g'
57623.39897625 21.662946645393276 0.1317755729326464 b'g'
57627.39194086 21.649893555808813 0.13376908574468516 b'g'
57633.3129667 21.543940400497373 0.05706651680968733 b'g'
57637.33888424 21.47974147650704 0.04647226486591549 b'g'
57701.22544988 21.64700312498864 0.08106671250103048 b'g'
57709.09851169 21.577670889576737 0.11079749961100305 b'g'
57719.30582734 21.535584851995285 0.07313148279129322 b'g'
57725.05790341 21.52621524960131 0.05025678238002129 b'g'
57751.14304731 21.501171627339524 0.05353563840094466 b'g'
57756.18371488 21.534665131399397 0.04827382627659915 b'g'
57770.14806034 21.674615109629773 0.10196115883527312 b'g'
57780.12343122 21.570776135136313 0.08596764153409708 b'g'
57784.03392376 21.52679464385502 0.08862463522036634 b'g'
57800.09852338 21.579030908473285 0.05803970679168202 b'g'
57994.28826377 21.353847113809397 0.06260432526793025 b'g'
57998.38382034 21.398959726691036 0.05876852903572072 b'g'
58019.19424295 21.370543361901415 0.049368219925884915 b'g'
58054.09432153 21.435692337385753 0.1264394575403891 b'g'
58057.32580566 21.43836717443513 0.04761025028002308 b'g'
58071.2915657 21.438123078093348 0.0523514168791408 b'g'
58108.06129867 21.354451366377518 0.0464875725969911 b'g'
58117.1726358 21.70897257390252 0.16738205197507838 b'g'
58125.10689245 21.46952805520405 0.04275572344165823 b'g'
58128.14030122 21.44634742224629 0.07043613959005057 b'g'
58132.12663605 21.474473782779747 0.05280249271411819 b'g'
58157.09181996 21.421746631121174 0.06423450148795595 b'g'
58164.04339107 21.54784892136819 0.04410004947300905 b'g'
58372.30961464 21.436602477610823 0.04572861721517896 b'g'
58409.24582724 21.567673665534098 0.08539934532838345 b'g'
58431.21686803 21.426230672332636 0.046327298718885856 b'g'
58454.21803744 21.535577114013247 0.034522862547157696 b'g'
56536.22852439 20.55382390614945 0.05733712358430054 b'r'
56543.23627633 20.61892471354892 0.031919534817465234 b'r'
56547.25646631 20.50704217774426 0.026389134585802054 b'r'
56551.21848862 20.51323783997231 0.06716662034950005 b'r'
56558.23410347 20.593031466450046 0.05690478888618955 b'r'
56563.18061138 20.606969672045544 0.03106013177477962 b'r'
56567.20807026 20.496038857315433 0.02607747392140425 b'r'
56575.18022054 20.716810068952835 0.026344247123912368 b'r'
56579.16949113 20.708898813280246 0.05271734409380713 b'r'
56590.32967491 20.700224914543007 0.07877798369071343 b'r'
56594.0927833 20.578401897487012 0.03939752649276329 b'r'
56602.10735318 20.668218469624385 0.02756730580821909 b'r'
56609.05691929 20.69030049943417 0.05923929886404622 b'r'
56625.19833613 20.692357071181284 0.02572824280293773 b'r'
56628.06455272 20.49618582488465 0.030616997113710912 b'r'
56635.11633043 20.543542797220464 0.033674722823057834 b'r'
56645.06655585 20.615656813222405 0.05171876178872381 b'r'
56649.1484549 20.460375366688854 0.03457953451052376 b'r'
56653.16324706 20.441141979122335 0.030814137085371836 b'r'
56660.07749426 20.532757113571062 0.025414321318809385 b'r'
56662.16074324 20.604788388114763 0.029378716247368427 b'r'
56667.10497427 20.640923740682698 0.043799155621783825 b'r'
56675.08852958 20.71945490049742 0.058421315472045876 b'r'
56681.12341779 20.50590474601989 0.027976626231485113 b'r'
56685.128367585 20.500297665490013 0.025462148176690087 b'r'
56692.04690531 20.623939183034107 0.0312508748729563 b'r'
56698.04872388 20.547645816515075 0.05268364236601286 b'r'
56890.40280836 20.426468351290815 0.03727625777829502 b'r'
56904.28425468 20.517187018261097 0.03137838072305854 b'r'
56912.35961463 20.49192417907641 0.05017901890316878 b'r'
56920.2936612 20.473630368820597 0.02544595169084829 b'r'
56927.22378116 20.45913943201312 0.027234238593837997 b'r'
56943.18042251 20.561584053944763 0.03941483474767438 b'r'
56949.33915612 20.47435377080088 0.028740751256432162 b'r'
56956.3538318 20.4864738513575 0.0342661609694197 b'r'
56961.35896636 20.489667290246448 0.03364980085260427 b'r'
56973.17069971 20.491364760653838 0.034151715694637375 b'r'
56980.30555096 20.491308180305474 0.025800049526303326 b'r'
56987.3055427 20.45029116959551 0.028149584946554285 b'r'
56992.1248655 20.47521865832565 0.042979960633651615 b'r'
57001.29018592 20.60401937768371 0.06767631363055315 b'r'
57004.03982455 20.567049579582168 0.07509754573611716 b'r'
57011.08733511 20.441359416858276 0.022944559348001548 b'r'
57017.24008041 20.470626667604073 0.029814426926169087 b'r'
57025.07410158 20.511123763483987 0.057461879777207514 b'r'
57032.14703043 20.523846688293638 0.035315257808470335 b'r'
57039.1147523 20.45223604503589 0.02489990854776636 b'r'
57044.17142788 20.421842137813034 0.027488101713746715 b'r'
57051.14682505 20.53235849974499 0.054460962086466225 b'r'
57066.04542053 20.404118117438188 0.03775571164457503 b'r'
57067.09866325 20.44550703735902 0.029119346245693123 b'r'
57252.29100616 20.522100319902215 0.031044626976505896 b'r'
57256.28060739 20.43705254737649 0.03534772872477987 b'r'
57257.31097726 20.54012182425539 0.029778816033068978 b'r'
57266.27261713 20.64700263538863 0.07610921568741347 b'r'
57276.35593957 20.377738999840496 0.032212804257039096 b'r'
57277.39472461 20.454768694683274 0.02769602363136414 b'r'
57284.34055589 20.448076782552192 0.05328040174646986 b'r'
57302.29322562 20.53819855273071 0.027899159510777594 b'r'
57311.25860584 20.417304085085874 0.027645099274295145 b'r'
57317.17190278 20.46051043664697 0.03987653258165835 b'r'
57325.20000313 20.506492834176797 0.05457712343497079 b'r'
57329.22701758 20.459589131851978 0.03197902085491222 b'r'
57331.09176326 20.457311336297707 0.032529572019299735 b'r'
57339.28384277 20.382858121073333 0.03152914896427106 b'r'
57345.33050718 20.484202461048895 0.031305140442750456 b'r'
57349.30119759 20.404894117286585 0.06419479712036491 b'r'
57356.16995831 20.60143495290827 0.033113866486399246 b'r'
57365.24717591 20.560565317984178 0.020954071489363457 b'r'
57372.2255289 20.583192330079243 0.03133659215509965 b'r'
57387.18087468 20.500961831469244 0.03414110054006514 b'r'
57394.14642884 20.47557771068719 0.02955822100445715 b'r'
57401.143450395 20.52023868104017 0.01740649733848362 b'r'
57426.14542296 20.359975608752936 0.03740739124905801 b'r'
57623.40133624 20.59395241735556 0.04831605442643294 b'r'
57627.39429889 20.349718581669737 0.07225465137422304 b'r'
57633.31533777 20.446656118908063 0.02801727907857199 b'r'
57637.34123452 20.57330007704938 0.030488509736606773 b'r'
57643.22036964 20.35408232211162 0.05396253489759317 b'r'
57644.21749897 20.61813865561344 0.09788674995688851 b'r'
57645.26184064 20.389593856538763 0.0553866163324237 b'r'
57653.36192865 20.602797573654534 0.03831395012033312 b'r'
57660.28210229 20.506530898100202 0.025860654815723194 b'r'
57667.15506977 20.468656603801573 0.027767119953090003 b'r'
57680.12820707 20.63829286261459 0.08507557050924319 b'r'
57683.11026214 20.343142630937056 0.03651455556386907 b'r'
57686.11071095 20.432164903629914 0.04066039761632467 b'r'
57694.18651908 20.493698598409118 0.02880780627765489 b'r'
57701.22781078 20.571671719006545 0.03329158487078132 b'r'
57709.10087362 20.458179854873144 0.05124046622069045 b'r'
57714.26300294 20.44278276111535 0.029425963637518038 b'r'
57718.22608079 20.51848628378242 0.028033106685530385 b'r'
57719.30306037 20.506921003697204 0.03566601786583945 b'r'
57720.04996186 20.47562623970191 0.02856084518126778 b'r'
57725.0602628 20.482259116627105 0.02774523752968605 b'r'
57730.21395405 20.541743403167402 0.03564620225587234 b'r'
57740.11411672 20.509708112716226 0.023063575818653703 b'r'
57747.11538251 20.497406850794793 0.0252068232372622 b'r'
57751.14539323 20.519473788380648 0.02722390723062773 b'r'
57756.18607481 20.46209240053061 0.027690255548616705 b'r'
57761.05683936 20.421273514803325 0.05966352352859517 b'r'
57770.15043224 20.644563014698363 0.0385166191024382 b'r'
57778.12476699 20.496694236303643 0.030060130744470115 b'r'
57780.12790139 20.453525669024472 0.03920089987429165 b'r'
57784.03628474 20.46796221832078 0.03092392858955506 b'r'
57791.09290946 20.697311830042942 0.05273426125063807 b'r'
57800.10087684 20.470185962328266 0.032834698842080456 b'r'
57989.35291629 20.622287833918055 0.09720585362813594 b'r'
57998.3861706 20.581257186476847 0.035716140454464806 b'r'
58008.34750762 20.41208956986755 0.0443714752479778 b'r'
58019.19660002 20.56291637447775 0.02563389127092819 b'r'
58036.20165411 20.66521621856752 0.04131744683567007 b'r'
58041.13080362 20.316953610351064 0.036489718732113374 b'r'
58047.15753932 20.451273906546245 0.02854298590283833 b'r'
58054.0966683 20.624775967039028 0.06224016523886178 b'r'
58057.32816729 20.432189277470034 0.02763222626541406 b'r'
58071.30565414 20.424896619984455 0.019912011600341843 b'r'
58076.3241358 20.41200782881906 0.026975144265446005 b'r'
58082.25483476 20.48276909918928 0.022330606261391495 b'r'
58086.06423539 20.403078413300104 0.05116823615108146 b'r'
58093.17413057 20.52939015955491 0.05040899586845882 b'r'
58099.18664813 20.310149766053982 0.026817427737103827 b'r'
58108.06365219 20.45494013335828 0.02243412922889476 b'r'
58117.17499099 20.554722146535802 0.05378104751676105 b'r'
58125.10924068 20.53421597307277 0.02039603805003409 b'r'
58132.12897793 20.4196171887333 0.023314157507719813 b'r'
58139.05615698 20.43999519992047 0.024780644051542566 b'r'
58143.09832684 20.36771501906942 0.045670699383610014 b'r'
58154.109455685 20.41470900207639 0.023485280313862565 b'r'
58164.04575884 20.332966745574176 0.025748945074262508 b'r'
58167.02865588 20.42104481598667 0.029831926311274515 b'r'
58372.31133012 20.455057328341567 0.02405926939932357 b'r'
58409.24754778 20.446687188427553 0.031831486130563746 b'r'
58431.21858805 20.39732217425214 0.024313482072280124 b'r'
58451.28147732 20.54585240961407 0.03320060179194684 b'r'
58454.16448457 20.414192259910145 0.022674795613717436 b'r'
56536.23061446 19.789373937996555 0.02521772123962407 b'i'
56543.23835125 19.7112899452153 0.022266959099042083 b'i'
56547.25854235 19.757118214730642 0.01679358847001211 b'i'
56551.22056056 19.657350902634736 0.024986823881572917 b'i'
56558.23616742 19.77476484766994 0.025316430984855032 b'i'
56563.18270896 19.802101467057984 0.017905398059749444 b'i'
56567.21015482 19.753442472889716 0.017517928218101275 b'i'
56575.18229681 19.802817896635986 0.016366130080967878 b'i'
56579.1715932 19.851460201082133 0.024719703189525433 b'i'
56590.33176305 19.90605701419691 0.037329534512693385 b'i'
56594.09485378 19.661636928596977 0.028057355504540027 b'i'
56602.10943341 19.91409189195543 0.017533482864024563 b'i'
56609.05898399 19.81381875013972 0.02834673748368388 b'i'
56625.20043026 19.917040798008603 0.018002378281632758 b'i'
56628.06663568 19.722053384280198 0.019951693735041687 b'i'
56635.11841092 19.719419995767435 0.022586337403222245 b'i'
56645.06863449 19.76192143428664 0.024134139340304728 b'i'
56649.15052989 19.745639376392866 0.02109337778460585 b'i'
56653.16535252 19.591858697352905 0.022022241298632395 b'i'
56660.07956948 19.793146435056173 0.01794421350967923 b'i'
56662.16212529 19.825508592068882 0.02606480238377884 b'i'
56667.10703168 19.852744015355913 0.028217487221048998 b'i'
56675.09060842 19.853823415621125 0.027624665187300224 b'i'
56678.14324276 19.70875163425423 0.0328838567044194 b'i'
56681.12549262 19.71338320079662 0.01925200420163975 b'i'
56685.17580457 19.714301198697072 0.029077480586011006 b'i'
56692.04898525 19.839030764273673 0.02068080735524802 b'i'
56698.05079897 19.70989105481418 0.02550096542696423 b'i'
56890.40488797 19.69569425448795 0.02384490560213237 b'i'
56904.28631451 19.636558093751454 0.018533423583228625 b'i'
56912.3616854 19.658889992182424 0.025348911096724436 b'i'
56920.29571385 19.68141722726792 0.014339705147943249 b'i'
56927.22583801 19.745048119590717 0.018346100668949816 b'i'
56933.24065424 19.799418167289645 0.15149434338134427 b'i'
56943.18247652 19.78637679373867 0.018854789285768447 b'i'
56949.3412186 19.77895595920394 0.015545190332453274 b'i'
56956.3559036 19.575860301399615 0.022224577999523376 b'i'
56961.36102701 19.610582574747607 0.024724512045512625 b'i'
56963.24623975 19.722174412928503 0.04122097330788321 b'i'
56973.17275052 19.757462420290164 0.017002190890615054 b'i'
56980.30759943 19.747348329209963 0.015430201691444267 b'i'
56987.30759967 19.672777218288836 0.021387306910021664 b'i'
56992.12692191 19.623805772053377 0.023159253479349218 b'i'
57004.04189638 19.74683165221766 0.0401447768115446 b'i'
57011.08938688 19.68141325955411 0.015751513099996117 b'i'
57017.24212748 19.7331145847811 0.020517979913513784 b'i'
57025.07616703 19.685299001571714 0.02601490737322365 b'i'
57032.14908074 19.745413020369483 0.01877495959328357 b'i'
57039.11680165 19.73564890197756 0.01621866663077043 b'i'
57044.17348742 19.655389664859925 0.01810084853640248 b'i'
57051.14889043 19.821003305047366 0.024527322179924482 b'i'
57066.04747965 19.579927088716595 0.021236704509188797 b'i'
57067.10072014 19.64534578763962 0.019809050159270924 b'i'
57250.39510618 19.65397679669716 0.1869449425469405 b'i'
