MJD_OBS MAG MAG_ERR BAND
56538.36500581 19.958455761755346 0.006838735878385904 b'g'
56543.30992213 19.956811842204445 0.007132615094370465 b'g'
56547.26765106 19.960575189124793 0.00715363026091964 b'g'
56552.2712099 19.9974575763644 0.02687117622216206 b'g'
56559.19049088 19.98854332365812 0.019332331314000584 b'g'
56563.20016983 19.963386776421068 0.007846049239589092 b'g'
56567.21913497 19.974710799102674 0.006541661969908574 b'g'
56575.19140632 19.993231211742597 0.006247310742867995 b'g'
56579.18083529 19.983413360701014 0.014406262054237118 b'g'
56590.34093206 19.96903678680289 0.01770390578647607 b'g'
56594.13254719 19.96581965720752 0.008793806328252884 b'g'
56602.11855272 19.996449352113668 0.006020959224901645 b'g'
56607.05546812 19.9723866409356 0.02051044889444853 b'g'
56614.07312372 20.025845009224795 0.026660386914148404 b'g'
56615.09609035 20.058884143318473 0.03193325775612976 b'g'
56625.18253352 19.984923973451355 0.006430840239413982 b'g'
56628.07588396 19.98919857938197 0.007482247492738736 b'g'
56635.12748407 19.992856934054473 0.009851263819452782 b'g'
56645.07767537 20.057047503906734 0.018538835867651926 b'g'
56649.16554831 19.997635474047318 0.014620740350078876 b'g'
56653.08577138 19.956432483508504 0.010217487579165407 b'g'
56660.08864801 19.988126960656835 0.006241104781405937 b'g'
56662.15520667 19.974237195672874 0.008728099447363746 b'g'
56667.11602829 20.03540180837561 0.014559700293077071 b'g'
56675.09977377 20.032509470327977 0.019864102577724196 b'g'
56681.0984895 19.964714670181145 0.010022967118672454 b'g'
56682.08138688 19.989559248705362 0.006949314780896998 b'g'
56686.12069085 19.99872038790429 0.008167692343302946 b'g'
56693.03433688 20.01338016963946 0.01087537728590604 b'g'
56887.390169 20.0582059552127 0.011210344621154889 b'g'
56891.39202502 20.052909428878216 0.007972484170942096 b'g'
56904.29548327 20.02696738008872 0.008914438519955326 b'g'
56912.34363626 20.05179846494875 0.01842290971698901 b'g'
56920.30480615 20.032551051403036 0.007215912081068865 b'g'
56927.23497351 20.0654707179134 0.007880262167233809 b'g'
56943.22980265 20.01333508597078 0.014309431399677663 b'g'
56949.32326633 20.046491023710754 0.006663767660722186 b'g'
56956.33781113 20.055657540219176 0.013264505767768497 b'g'
56960.27112662 20.022247079183067 0.009627587972588003 b'g'
56973.31487728 20.02956559514524 0.01518673710195628 b'g'
56980.31666556 19.987181813387416 0.006465850190792821 b'g'
56988.0294158 19.97284843774534 0.010761168331285376 b'g'
56992.13618221 19.946147500307106 0.016158364826157623 b'g'
57008.11082158 19.977602447467554 0.006751423103793286 b'g'
57012.08181561 19.96560694774354 0.006604414678324844 b'g'
57018.07086001 19.916718028777385 0.012661216764023209 b'g'
