MJD_OBS MAG MAG_ERR BAND
56543.28207737 22.049295165552266 0.04972164494861531 b'g'
56545.38434587 22.21325124239511 0.05022106789261471 b'g'
56563.24386996 22.077740647526127 0.041191300600907255 b'g'
56567.18465363 22.104701638145535 0.058178524087736605 b'g'
56575.16352384 21.984951443207574 0.04907877448128062 b'g'
56579.15273697 22.148006088772654 0.14290668428074582 b'g'
56602.09068584 22.082378600918208 0.04291552824885514 b'g'
56616.07300355 21.83875652664581 0.14077314139104757 b'g'
56625.21024704 21.868096140046987 0.051079282705224216 b'g'
56636.04141734 22.02121261884874 0.10156810564184227 b'g'
56645.13591113 22.149066054040155 0.1708560626032707 b'g'
56649.13182666 21.895748880688227 0.08694438728591791 b'g'
56654.13601793 22.163951697630917 0.056068739358373414 b'g'
56660.06078326 22.145896564886325 0.051721373394688186 b'g'
56676.05758924 22.03098357951924 0.11337876858712193 b'g'
56903.39675947 22.06746010695997 0.06456736714367395 b'g'
56927.29392038 22.223990031236006 0.05827734519623817 b'g'
56932.2704941 22.185809615429687 0.05230776770874357 b'g'
56933.31976592 22.09878836766194 0.06488848702642969 b'g'
56953.31651296 22.096827941765376 0.0904413468647931 b'g'
56956.14097256 22.185911197267124 0.04705045425999543 b'g'
56963.22753646 22.04205153972908 0.10974233298490788 b'g'
56973.12880991 22.339191642787537 0.05718342635619322 b'g'
56980.19227606 22.289401335335366 0.04535817824132948 b'g'
56987.19338195 22.372147521741027 0.05895586442127154 b'g'
57005.20021446 22.279188729324115 0.10153286730854916 b'g'
57012.0674613 22.19146230724282 0.06894118098427526 b'g'
57018.05644414 22.03975760746284 0.11670675933511987 b'g'
57040.11314367 22.317252484329828 0.07362961854316552 b'g'
57045.10629335 22.2211677857668 0.0972848931563064 b'g'
57249.38832607 22.054957863683317 0.07136420054739645 b'g'
57253.40075114 22.148450385564317 0.048906169300245494 b'g'
57258.3579972 22.020378789587678 0.04192451319729784 b'g'
57283.26013929 22.02185755981587 0.05059091477203026 b'g'
57303.17973418 22.053628153278442 0.08689386272019561 b'g'
57327.11981237 22.296633397747136 0.06301830075682346 b'g'
57339.16234228 22.35065293028331 0.08221945083100479 b'g'
57345.24036127 22.31406228052162 0.08204934619649862 b'g'
57372.11312995 22.162624984354743 0.06577483211171753 b'g'
57385.07784041 22.29616009449282 0.05127864097789114 b'g'
57401.06051702 22.30516079104611 0.06058137350965254 b'g'
57626.28997178 22.334946071658745 0.09467675777853302 b'g'
57633.27650924 22.332097472164673 0.0618021003268936 b'g'
57637.28525326 22.074246998833654 0.08552163353403941 b'g'
57643.326998439996 22.14807220022663 0.10071686740640821 b'g'
57660.20370374 22.313920379078514 0.07374759745627202 b'g'
57666.17526225 22.42454460509647 0.07615264476458705 b'g'
57671.17008394 22.204306550747088 0.08971506799996831 b'g'
57686.1475722 22.213151634130252 0.09266955617378159 b'g'
57688.11206084 22.319975213568856 0.08423883598023352 b'g'
57689.22523567 22.31929754790287 0.07614413135001996 b'g'
57695.10590946 22.225548180592867 0.08725148501834212 b'g'
57739.08755102 22.446800998943267 0.0715783402927741 b'g'
57756.10077128 22.33376823526409 0.10109171239034254 b'g'
57782.06714938 22.396489125244415 0.11823002048863884 b'g'
57991.29758102 22.416197173106593 0.16905620669034604 b'g'
58010.23988815 22.558158245860753 0.09108865829775681 b'g'
58028.19123868 22.424123096003733 0.23551146490124708 b'g'
58040.26792308 22.469557406439428 0.08148846760902728 b'g'
58045.25633136 22.472638679226748 0.06560648528498092 b'g'
58052.27111927 22.4599850197557 0.06557657669030448 b'g'
58055.28773155 22.541864209399698 0.07118853213864185 b'g'
58057.20236396 22.273413113858403 0.13253998320639937 b'g'
58071.19072128 22.384732670793987 0.0599701843017435 b'g'
58076.24494906 22.4080754978656 0.06618795414554057 b'g'
58094.09432548 22.260845195592694 0.05377600613719835 b'g'
58100.11195515 22.372575201396213 0.07779320942656298 b'g'
58108.15222687 22.262191420675393 0.06418539660911193 b'g'
58113.07685607 22.262515338731205 0.08167149341326763 b'g'
58123.04409997 22.396682100403495 0.07219453326171177 b'g'
58130.04272575 22.410535271035272 0.09661847197226692 b'g'
58372.2901143 22.07805950813733 0.04776898160122656 b'g'
58431.17592005 22.235901125041593 0.06873248627252337 b'g'
58453.14939052 22.218730234073874 0.04212939787566583 b'g'
58457.2178442 22.311220143124704 0.21889223384704692 b'g'
58468.14211643 22.136003519454032 0.23675422097226217 b'g'
56536.24332211 21.59382413559365 0.1443784345466277 b'r'
56537.22243917 21.636348138593956 0.0822707992957632 b'r'
56543.28442698 21.684244370600414 0.04951159187602272 b'r'
56545.3857379 21.701704246348765 0.04140949763653623 b'r'
56547.24211843 21.66023531788851 0.056278373805234594 b'r'
56563.24625568 21.656939846486427 0.04429693042290239 b'r'
56567.18702711 21.68699561155819 0.05204185807271955 b'r'
56575.16591874 21.715065723055083 0.036908093024116795 b'r'
56594.12065572 21.52262938220953 0.07996794499488402 b'r'
56602.09307451 21.73848259048276 0.04202092332531393 b'r'
