MJD_OBS MAG MAG_ERR BAND
56520.23586661 22.191924606138777 0.07982467326387166 b'g'
56534.18525725 22.016224931378435 0.0328812485775174 b'g'
56538.14720893 22.091455226819807 0.03773665911288049 b'g'
56547.09417018 22.068812226867372 0.10296002136385951 b'g'
56563.05038448 22.165065600179737 0.05286405890841195 b'g'
56568.04160579 22.15609107764799 0.06403838693737995 b'g'
56575.01433457 22.111354409323816 0.05636389617981763 b'g'
56576.27213399 22.189790200506682 0.052686991150281415 b'g'
56579.01254427 22.21490460391564 0.1149899925742659 b'g'
56590.01104683 22.265912047207514 0.07462167036235812 b'g'
56592.07329448 22.116863624708465 0.06647539250111123 b'g'
56594.01242014 22.208484367175803 0.06014999369958219 b'g'
56602.01324238 22.184795664146417 0.05489371714226011 b'g'
56609.02622455 22.2126248014406 0.10126418466188625 b'g'
56615.06750618 22.145911649268804 0.09979488125767944 b'g'
56628.03376122 22.24388465733046 0.056444882121862605 b'g'
56635.08343196 22.354878579607764 0.08024327182992863 b'g'
56649.05071368 22.17291670138347 0.041399953053080196 b'g'
56656.04670394 22.11253861808582 0.05866679620677573 b'g'
56675.05770864 22.328314222248455 0.20392564425177895 b'g'
56682.05342583 22.3442617691951 0.07259322383300315 b'g'
56891.37719244 21.877584832596444 0.03588264236894645 b'g'
56903.12027113 21.963026492677873 0.09670762734364047 b'g'
56912.09612408 22.10878534717132 0.12389277875574578 b'g'
56916.08889952 21.845979605359595 0.098403192733997 b'g'
56920.07474222 21.85299144934188 0.0329047829591218 b'g'
56925.15799977 21.79646228294388 0.0632515529275004 b'g'
56943.0180281 21.885313128599904 0.0385446747555136 b'g'
56949.02744613 21.91976290491538 0.04002332303303291 b'g'
56956.00811989 21.86217591268268 0.03719422616042678 b'g'
56960.17070443 21.971757251094093 0.047023945865088734 b'g'
56973.02078094 21.91344049467967 0.04426154412291794 b'g'
56980.03745484 21.948528557268475 0.03372636291332398 b'g'
56987.04146497 21.956422383601694 0.0409112306677315 b'g'
56992.04630187 21.965214078761846 0.10937047396612343 b'g'
57002.05011183 22.06847452549969 0.04455835163658506 b'g'
57011.055966 22.1042049883485 0.03876133291392847 b'g'
57017.07357348 22.063687359179497 0.06502421912546197 b'g'
57030.09057864 22.122719266792785 0.11416310435049225 b'g'
57037.07382623 22.13256401709136 0.05439369226294488 b'g'
57042.08816102 22.072166188484996 0.06037487386142004 b'g'
57252.21530607 22.3289441802534 0.04887492687907269 b'g'
57257.22494548 22.539341392828376 0.08189188896770005 b'g'
57273.31367063 22.512798635820634 0.062153634209227704 b'g'
57278.18539721 22.409610366795743 0.0522610963119412 b'g'
57283.12905579 22.418791151933423 0.12876343230879428 b'g'
57301.04620305 22.363150728558338 0.11330020982376254 b'g'
57305.0640739 22.47273489607236 0.1089676340710426 b'g'
57311.02023556 22.486872174959124 0.07176705299850283 b'g'
57325.00952538 22.355726743412394 0.08473825617158681 b'g'
57329.02847203 22.303512571987724 0.07043609499672598 b'g'
57334.22381795 22.523831700141823 0.06695721153986511 b'g'
57340.06342432 22.375021879010458 0.054680537785728234 b'g'
57342.02141611 22.495943462904926 0.06452087364015924 b'g'
57356.12013504 22.484076402214548 0.05979163688133937 b'g'
57366.03850317 22.378524521359623 0.05912449793099128 b'g'
57373.03559907 22.187219061620898 0.15358006788859413 b'g'
