MJD_OBS MAG MAG_ERR BAND
56594.17167464 22.454212213588487 0.1390939717693982 b'g'
57361.18223513 22.761661334378907 0.16897206911985307 b'g'
57656.26332836 22.426979919818766 0.11143193893181191 b'g'
57664.24671522 22.36356272136776 0.1360969424185825 b'g'
58075.1371749 22.45397062874948 0.094052736174568 b'g'
58095.13809235 22.234797848993722 0.1286304834640859 b'g'
58451.19792227 22.480629254686704 0.1348479506463498 b'g'
57361.18084976 21.996589225561156 0.11686315332390508 b'r'
57642.39562418 22.42154059981908 0.12422512827924949 b'r'
57664.24533431 22.267361092260614 0.12407146987497697 b'r'
57686.21154886 22.08945582084854 0.12443397899048138 b'r'
57687.28050571 22.3220017278666 0.12691293244039414 b'r'
57688.21075176 22.036403811834408 0.12058864054129613 b'r'
58072.1894978 21.999573812923003 0.1151026701866229 b'r'
58079.18524545 22.354013222865284 0.1303271876949914 b'r'
58451.19654183 22.385349596703556 0.09622085542291003 b'r'
56932.34614405 21.627868874595947 0.11893307293314594 b'i'
56933.36764282 21.466518626153935 0.10923390603508665 b'i'
57361.17948216 21.556518453923655 0.13359713714572408 b'i'
57642.25785231 21.437347064414215 0.13061103563155285 b'i'
57664.24395792 21.50109226952822 0.11844632687014567 b'i'
57683.30351485 21.40075283451185 0.11562408718989303 b'i'
57998.40835275 21.487824600463803 0.1803181691338409 b'i'
58014.39276663 21.395805408152373 0.11459007256728171 b'i'
58075.1385515 21.58939759841575 0.09809988626865263 b'i'
58438.2268923 21.796105087274825 0.12204958307177803 b'i'
