MJD_OBS MAG MAG_ERR BAND
56520.21428460666 22.264547723373525 0.044099878189230134 b'g'
56538.153990175 22.33663530043869 0.03177155661339765 b'g'
56543.10525006 22.412613073595388 0.06509903402384865 b'g'
56547.087361275 22.348468482740206 0.08110418905899106 b'g'
56558.05170611 22.21834367620536 0.047631071948170955 b'g'
56563.043614199996 22.20889568504531 0.03692594867869908 b'g'
56567.08157911 22.316155606568863 0.18368281405786036 b'g'
56568.04160579 22.298923745076195 0.06561336513905047 b'g'
56575.021108714995 22.364610357564725 0.0401673375516572 b'g'
56594.019183445 22.176534093807682 0.034703338045768084 b'g'
56609.02622455 22.265604237168706 0.10183789475260951 b'g'
56615.074332745 22.3097604585836 0.08828105207558981 b'g'
56625.16195913 22.402977774743576 0.050327561576210655 b'g'
56628.040574009996 22.355146831211776 0.03680796512508213 b'g'
56633.15587983 22.35598115612411 0.06692687512606454 b'g'
56635.08343196 22.391285176078753 0.08549579257326556 b'g'
56645.11434619 22.306010245316205 0.0862223968913758 b'g'
56649.05071368 22.304620765336736 0.04138849592249372 b'g'
56650.04868646 22.28341228305118 0.04912362348994748 b'g'
56656.04670394 22.325779533076222 0.05352445062575484 b'g'
56657.05699656 22.213866702679223 0.03945144609226837 b'g'
56667.04554227 22.31596084131802 0.17947373527394817 b'g'
56682.060114620006 22.448088561253837 0.05657610052994535 b'g'
56687.05328793 22.447688117188953 0.10120701634684437 b'g'
56695.03094696 22.216080625193676 0.12233092719247907 b'g'
56885.20944459 22.07121321404906 0.08528227904474761 b'g'
56887.21096163 22.060477398291194 0.03441474567413039 b'g'
56890.2177279 21.997168587345282 0.0450172632250343 b'g'
56891.37719244 22.06751208889509 0.04144442506946433 b'g'
56912.089376855 22.109794957335772 0.07643886529983282 b'g'
56920.06125334 21.947404271361616 0.03440432450841868 b'g'
56925.15799977 21.91240136051609 0.07663419692562812 b'g'
56930.120694690006 21.992394043655427 0.030570792965351687 b'g'
56943.00467823 21.99656483303734 0.046054031905654824 b'g'
56949.020780775 21.989984875042357 0.028521704260025045 b'g'
56953.03073484 22.123135507256094 0.04324514332212104 b'g'
56956.00811989 21.938324785119743 0.03865033145169505 b'g'
56957.00544218 22.0151571264549 0.07650644189036626 b'g'
